,DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,Date,Time,Relative Humidity (%),Pressure (hPa),Wind speed (m/s),Wind direction,Rainfall (kg/m2)
55,2020-05-16 13:45:00,4136001,iq8k7ZNt4Mwm3w0,35.90305770000001,52.90961203333333,0.448084939,2020-05-16,13:45:00,65.24,995.38,4.82,301.69,2.5e-05
56,2020-05-16 14:00:00,4136001,iq8k7ZNt4Mwm3w0,35.1703901724138,48.40738344827586,0.6341718075862071,2020-05-16,14:00:00,66.31,995.53,4.72,302.59,2.7000000000000002e-05
57,2020-05-16 14:15:00,4136001,iq8k7ZNt4Mwm3w0,35.07013266666666,47.87680756666668,0.7138214220000001,2020-05-16,14:15:00,67.4,995.68,4.63,303.52,2.8000000000000003e-05
58,2020-05-16 14:30:00,4136001,iq8k7ZNt4Mwm3w0,35.359500413793114,51.45765844827587,0.7975343986206896,2020-05-16,14:30:00,68.51,995.83,4.53,304.5,2.8999999999999997e-05
59,2020-05-16 14:45:00,4136001,iq8k7ZNt4Mwm3w0,35.03316013333334,47.376509399999996,0.464079111,2020-05-16,14:45:00,69.41,995.96,4.44,305.08,3.2e-05
60,2020-05-16 15:00:00,4136001,iq8k7ZNt4Mwm3w0,34.605278500000004,44.74481596666666,0.443339748,2020-05-16,15:00:00,70.09,996.07,4.37,305.23,3.6e-05
61,2020-05-16 15:15:00,4136001,iq8k7ZNt4Mwm3w0,34.166512275862075,40.970847448275855,0.304116098275862,2020-05-16,15:15:00,70.78,996.18,4.29,305.38,4e-05
62,2020-05-16 15:30:00,4136001,iq8k7ZNt4Mwm3w0,34.53725489999999,42.3535389,0.3934120083333333,2020-05-16,15:30:00,71.48,996.29,4.21,305.54,4.3e-05
63,2020-05-16 15:45:00,4136001,iq8k7ZNt4Mwm3w0,34.33549355172413,41.218593068965525,0.3116804148275861,2020-05-16,15:45:00,72.05,996.38,4.15,305.37,4.3e-05
64,2020-05-16 16:00:00,4136001,iq8k7ZNt4Mwm3w0,34.15994656666666,39.690612866666655,0.22228577400000005,2020-05-16,16:00:00,72.51,996.44,4.11,304.84,3.7e-05
65,2020-05-16 16:15:00,4136001,iq8k7ZNt4Mwm3w0,33.8724427586207,38.41691410344829,0.21924623758620693,2020-05-16,16:15:00,72.97,996.51,4.06,304.3,3.2e-05
66,2020-05-16 16:30:00,4136001,iq8k7ZNt4Mwm3w0,33.26039943333333,37.33207720000001,0.11678789733333332,2020-05-16,16:30:00,73.44,996.58,4.02,303.75,2.7000000000000002e-05
67,2020-05-16 16:45:00,4136001,iq8k7ZNt4Mwm3w0,31.583788233333333,33.56913959999999,0.06696550436666665,2020-05-16,16:45:00,73.86,996.63,3.98,303.41,2.6000000000000002e-05
68,2020-05-16 17:00:00,4136001,iq8k7ZNt4Mwm3w0,31.56179186206896,33.81071955172414,0.08907629162068967,2020-05-16,17:00:00,74.22,996.65,3.95,303.27,2.9999999999999997e-05
69,2020-05-16 17:15:00,4136001,iq8k7ZNt4Mwm3w0,31.8386771,32.7122988,0.030799943183333324,2020-05-16,17:15:00,74.6,996.68,3.91,303.13,3.3e-05
70,2020-05-16 17:30:00,4136001,iq8k7ZNt4Mwm3w0,31.22422073333334,29.016643266666666,0.00552107608,2020-05-16,17:30:00,74.97,996.71,3.88,302.99,3.7e-05
71,2020-05-16 17:45:00,4136001,iq8k7ZNt4Mwm3w0,30.526303172413797,27.029708379310335,0.0027049280665517247,2020-05-16,17:45:00,75.32,996.69,3.84,302.97,3.5e-05
72,2020-05-16 18:00:00,4136001,iq8k7ZNt4Mwm3w0,29.6090585,26.4780304,0.0,2020-05-16,18:00:00,75.64,996.62,3.79,303.07,2.8000000000000003e-05
73,2020-05-16 18:15:00,4136001,iq8k7ZNt4Mwm3w0,29.016219655172414,26.25001072413793,0.0004274467713793104,2020-05-16,18:15:00,75.96,996.55,3.74,303.18,2.2e-05
74,2020-05-16 18:30:00,4136001,iq8k7ZNt4Mwm3w0,29.1915681,26.274048066666676,0.0011526068120000007,2020-05-16,18:30:00,76.29,996.48,3.69,303.29,1.4999999999999999e-05
75,2020-05-16 18:45:00,4136001,iq8k7ZNt4Mwm3w0,29.55729153333333,25.794328700000005,0.0006664907476666666,2020-05-16,18:45:00,76.58,996.38,3.63,303.45,1.4000000000000001e-05
76,2020-05-16 19:00:00,4136001,iq8k7ZNt4Mwm3w0,30.232590344827585,27.727659999999997,0.0014265874813793105,2020-05-16,19:00:00,76.85,996.27,3.55,303.67,2e-05
77,2020-05-16 19:15:00,4136001,iq8k7ZNt4Mwm3w0,29.965409300000005,29.1194042,8.698919513333332e-05,2020-05-16,19:15:00,77.12,996.15,3.47,303.9,2.6000000000000002e-05
78,2020-05-16 19:30:00,4136001,iq8k7ZNt4Mwm3w0,29.82385472413793,28.76035496551724,0.0,2020-05-16,19:30:00,77.39,996.03,3.39,304.14,3.2e-05
79,2020-05-16 19:45:00,4136001,iq8k7ZNt4Mwm3w0,29.420118100000003,28.40477293333333,0.0,2020-05-16,19:45:00,77.65,995.92,3.3,304.4,8e-05
80,2020-05-16 20:00:00,4136001,iq8k7ZNt4Mwm3w0,28.76313734482759,27.835330310344833,0.0,2020-05-16,20:00:00,77.91,995.82,3.2,304.67,0.00016999999999999999
81,2020-05-16 20:15:00,4136001,iq8k7ZNt4Mwm3w0,28.205944733333336,27.102158700000004,0.0,2020-05-16,20:15:00,78.16,995.72,3.1,304.95,0.00026000000000000003
82,2020-05-16 20:30:00,4136001,iq8k7ZNt4Mwm3w0,28.205386266666668,26.741445866666673,0.0,2020-05-16,20:30:00,78.42,995.62,3.0,305.26,0.00035
83,2020-05-16 20:45:00,4136001,iq8k7ZNt4Mwm3w0,28.36054320689655,26.710662758620693,0.0,2020-05-16,20:45:00,78.71,995.54,2.93,305.76,0.00037799999999999997
84,2020-05-16 21:00:00,4136001,iq8k7ZNt4Mwm3w0,28.5787841,26.9042196,0.0,2020-05-16,21:00:00,79.03,995.48,2.89,306.44,0.000344
85,2020-05-16 21:15:00,4136001,iq8k7ZNt4Mwm3w0,28.61048517241379,27.115082793103447,0.0,2020-05-16,21:15:00,79.36,995.42,2.85,307.14,0.00031099999999999997
86,2020-05-16 21:30:00,4136001,iq8k7ZNt4Mwm3w0,28.4075919,26.798993800000005,0.0,2020-05-16,21:30:00,79.69,995.36,2.81,307.86,0.000277
87,2020-05-16 21:45:00,4136001,iq8k7ZNt4Mwm3w0,28.27099406666666,26.638355366666666,0.0,2020-05-16,21:45:00,80.01,995.32,2.8,308.8,0.00035
88,2020-05-16 22:00:00,4136001,iq8k7ZNt4Mwm3w0,28.258463862068968,26.72932162068966,0.0,2020-05-16,22:00:00,80.31,995.32,2.81,309.93,0.000532
89,2020-05-16 22:15:00,4136001,iq8k7ZNt4Mwm3w0,28.13605563333333,26.82591456666667,0.0,2020-05-16,22:15:00,80.61,995.31,2.83,311.05,0.000713
90,2020-05-16 22:30:00,4136001,iq8k7ZNt4Mwm3w0,28.31342096551724,27.722994137931032,0.0,2020-05-16,22:30:00,80.91,995.3,2.85,312.15,0.000895
91,2020-05-16 22:45:00,4136001,iq8k7ZNt4Mwm3w0,28.208466666666666,27.788521233333334,0.0,2020-05-16,22:45:00,81.09,995.33,2.89,313.37,0.00109
92,2020-05-16 23:00:00,4136001,iq8k7ZNt4Mwm3w0,27.52852131034483,27.18614355172414,0.0,2020-05-16,23:00:00,81.14,995.41,2.94,314.66,0.0012980000000000001
93,2020-05-16 23:15:00,4136001,iq8k7ZNt4Mwm3w0,27.13286423333333,26.697984833333336,0.0,2020-05-16,23:15:00,81.19,995.48,3.0,315.91,0.001507
94,2020-05-16 23:30:00,4136001,iq8k7ZNt4Mwm3w0,26.87304173333333,26.26826893333333,0.0,2020-05-16,23:30:00,81.25,995.56,3.06,317.11,0.001716
95,2020-05-16 23:45:00,4136001,iq8k7ZNt4Mwm3w0,26.52578620689655,25.57391037931034,0.0,2020-05-16,23:45:00,81.29,995.68,3.11,318.3,0.001834
96,2020-05-17 00:00:00,4136001,iq8k7ZNt4Mwm3w0,26.290046066666665,25.420961466666665,0.0,2020-05-17,00:00:00,84.78,994.23,3.41,334.42,0.002663
97,2020-05-17 00:15:00,4136001,iq8k7ZNt4Mwm3w0,26.14886572413793,25.074880586206888,0.0,2020-05-17,00:15:00,81.35,996.0,3.18,320.67,0.001888
98,2020-05-17 00:30:00,4136001,iq8k7ZNt4Mwm3w0,25.88355113333333,24.7258465,0.0,2020-05-17,00:30:00,81.38,996.17,3.22,321.81,0.0019149999999999998
99,2020-05-17 00:45:00,4136001,iq8k7ZNt4Mwm3w0,25.90616780000001,24.595490533333336,0.0,2020-05-17,00:45:00,81.15,996.35,3.3,323.07,0.001871
100,2020-05-17 01:00:00,4136001,iq8k7ZNt4Mwm3w0,25.762797379310346,24.34820031034483,0.0,2020-05-17,01:00:00,80.64,996.55,3.42,324.4,0.001756
101,2020-05-17 01:15:00,4136001,iq8k7ZNt4Mwm3w0,25.5164062,23.86896563333333,0.0,2020-05-17,01:15:00,80.14,996.74,3.54,325.63,0.001641
102,2020-05-17 01:30:00,4136001,iq8k7ZNt4Mwm3w0,25.3675354,23.30727846666667,0.0,2020-05-17,01:30:00,79.64,996.94,3.66,326.79,0.001526
103,2020-05-17 01:45:00,4136001,iq8k7ZNt4Mwm3w0,24.830521599999994,22.68963426666667,0.0,2020-05-17,01:45:00,78.66,997.14,3.75,327.79,0.001335
104,2020-05-17 02:00:00,4136001,iq8k7ZNt4Mwm3w0,24.73006183333333,22.41169846666667,0.0,2020-05-17,02:00:00,77.23,997.34,3.8,328.67,0.00107
105,2020-05-17 02:15:00,4136001,iq8k7ZNt4Mwm3w0,24.467926172413787,22.172177068965517,0.0,2020-05-17,02:15:00,75.82,997.53,3.85,329.54,0.000805
106,2020-05-17 02:30:00,4136001,iq8k7ZNt4Mwm3w0,24.2546642,21.83082796666667,0.0,2020-05-17,02:30:00,74.44,997.73,3.9,330.38,0.00054
107,2020-05-17 02:45:00,4136001,iq8k7ZNt4Mwm3w0,24.288478482758627,22.096859793103448,0.0,2020-05-17,02:45:00,72.69,997.89,3.91,330.83,0.000397
108,2020-05-17 03:00:00,4136001,iq8k7ZNt4Mwm3w0,24.1800069,22.02151296666667,0.0,2020-05-17,03:00:00,70.6,998.03,3.9,330.9,0.00037799999999999997
109,2020-05-17 03:15:00,4136001,iq8k7ZNt4Mwm3w0,23.95225926666667,21.7182801,0.0,2020-05-17,03:15:00,68.57,998.16,3.88,330.97,0.00035800000000000003
110,2020-05-17 03:30:00,4136001,iq8k7ZNt4Mwm3w0,24.118318793103448,22.020067,0.0,2020-05-17,03:30:00,66.59,998.29,3.86,331.04,0.000338
111,2020-05-17 03:45:00,4136001,iq8k7ZNt4Mwm3w0,24.31887113333333,22.570317666666664,0.0,2020-05-17,03:45:00,64.52,998.36,3.84,330.87,0.00031
112,2020-05-17 04:00:00,4136001,iq8k7ZNt4Mwm3w0,24.36630162068965,22.701633862068963,0.0,2020-05-17,04:00:00,62.37,998.37,3.81,330.45,0.00027400000000000005
113,2020-05-17 04:15:00,4136001,iq8k7ZNt4Mwm3w0,24.63787533333333,23.12236843333333,4.478824343333333e-05,2020-05-17,04:15:00,60.28,998.38,3.79,330.02,0.00023799999999999998
114,2020-05-17 04:30:00,4136001,iq8k7ZNt4Mwm3w0,24.72773365517241,23.30426886206897,0.0,2020-05-17,04:30:00,58.25,998.39,3.76,329.59,0.000202
115,2020-05-17 04:45:00,4136001,iq8k7ZNt4Mwm3w0,24.898120000000002,23.51796473333333,0.0,2020-05-17,04:45:00,56.43,998.32,3.74,328.44,0.00018999999999999998
116,2020-05-17 05:00:00,4136001,iq8k7ZNt4Mwm3w0,24.73652068965517,23.295683827586213,0.0,2020-05-17,05:00:00,54.81,998.17,3.73,326.56,0.000202
117,2020-05-17 05:15:00,4136001,iq8k7ZNt4Mwm3w0,24.85698943333333,23.203091533333332,0.0,2020-05-17,05:15:00,53.24,998.02,3.72,324.68,0.000215
118,2020-05-17 05:30:00,4136001,iq8k7ZNt4Mwm3w0,24.6831023,23.135338366666666,0.0,2020-05-17,05:30:00,51.71,997.87,3.71,322.78,0.000227
119,2020-05-17 05:45:00,4136001,iq8k7ZNt4Mwm3w0,24.473037241379306,22.77686379310345,9.398705537931034e-05,2020-05-17,05:45:00,50.48,997.67,3.73,319.81,0.0003
120,2020-05-17 06:00:00,4136001,iq8k7ZNt4Mwm3w0,24.319194931034485,23.056784827586203,0.005539939377931035,2020-05-17,06:00:00,49.53,997.42,3.78,315.84,0.000433
121,2020-05-17 06:15:00,4136001,iq8k7ZNt4Mwm3w0,25.05646456666667,24.00412286666667,0.01837046603333333,2020-05-17,06:15:00,48.6,997.17,3.85,311.99,0.000566
122,2020-05-17 06:30:00,4136001,iq8k7ZNt4Mwm3w0,25.29116206666667,24.82253713333333,0.026291506733333338,2020-05-17,06:30:00,47.69,996.93,3.93,308.29,0.000698
123,2020-05-17 06:45:00,4136001,iq8k7ZNt4Mwm3w0,25.523688896551718,25.355253000000005,0.03118078355172415,2020-05-17,06:45:00,47.04,996.66,4.06,304.55,0.000697
124,2020-05-17 07:00:00,4136001,iq8k7ZNt4Mwm3w0,25.72339583333333,25.94643143333333,0.047666922,2020-05-17,07:00:00,46.64,996.37,4.24,300.9,0.000563
125,2020-05-17 07:15:00,4136001,iq8k7ZNt4Mwm3w0,26.13572644827586,27.001655241379307,0.0694368633448276,2020-05-17,07:15:00,46.24,996.08,4.44,297.55,0.00042800000000000005
126,2020-05-17 07:30:00,4136001,iq8k7ZNt4Mwm3w0,26.674718199999997,28.918445866666666,0.12705765549999998,2020-05-17,07:30:00,45.84,995.79,4.64,294.49,0.000294
127,2020-05-17 07:45:00,4136001,iq8k7ZNt4Mwm3w0,27.6051717,32.49521086666666,0.235718252,2020-05-17,07:45:00,45.66,995.52,4.88,292.01,0.000226
128,2020-05-17 08:00:00,4136001,iq8k7ZNt4Mwm3w0,28.544006379310346,37.89159403448277,0.4306667141379311,2020-05-17,08:00:00,45.69,995.27,5.13,290.06,0.00022400000000000002
129,2020-05-17 08:15:00,4136001,iq8k7ZNt4Mwm3w0,29.212374800000003,43.304463566666676,0.4617634923333334,2020-05-17,08:15:00,45.73,995.02,5.39,288.29,0.000223
130,2020-05-17 08:30:00,4136001,iq8k7ZNt4Mwm3w0,29.68912768965517,44.71320524137932,0.5120760037931034,2020-05-17,08:30:00,45.76,994.78,5.66,286.69,0.000221
131,2020-05-17 08:45:00,4136001,iq8k7ZNt4Mwm3w0,29.98807683333333,45.06860646666666,0.470911494,2020-05-17,08:45:00,45.99,994.57,5.9,285.66,0.000357
132,2020-05-17 09:00:00,4136001,iq8k7ZNt4Mwm3w0,30.04770634482759,44.35975200000001,0.5358374679310346,2020-05-17,09:00:00,46.41,994.4,6.12,285.14,0.0006309999999999999
133,2020-05-17 09:15:00,4136001,iq8k7ZNt4Mwm3w0,30.70545853333333,48.360558000000005,0.7126864326666666,2020-05-17,09:15:00,46.84,994.23,6.35,284.65,0.000904
134,2020-05-17 09:30:00,4136001,iq8k7ZNt4Mwm3w0,31.639831800000003,51.3436818,0.6903431299999999,2020-05-17,09:30:00,47.27,994.06,6.57,284.2,0.001178
135,2020-05-17 09:45:00,4136001,iq8k7ZNt4Mwm3w0,31.79815365517241,50.57241631034482,0.7143508155172414,2020-05-17,09:45:00,47.83,993.95,6.74,284.12,0.001352
136,2020-05-17 10:00:00,4136001,iq8k7ZNt4Mwm3w0,32.372193566666674,52.08409933333333,0.6756343696666666,2020-05-17,10:00:00,48.54,993.9,6.86,284.39,0.001428
137,2020-05-17 10:15:00,4136001,iq8k7ZNt4Mwm3w0,32.30568233333333,49.34352216666668,0.5722676586666666,2020-05-17,10:15:00,49.26,993.85,6.98,284.65,0.001504
138,2020-05-17 10:30:00,4136001,iq8k7ZNt4Mwm3w0,32.442084827586214,48.37232193103448,0.6707603986206897,2020-05-17,10:30:00,49.98,993.8,7.09,284.89,0.00158
139,2020-05-17 10:45:00,4136001,iq8k7ZNt4Mwm3w0,32.98318686666667,50.80083796666666,0.7487384033333334,2020-05-17,10:45:00,50.93,993.78,7.15,285.29,0.0014789999999999998
140,2020-05-17 11:00:00,4136001,iq8k7ZNt4Mwm3w0,33.59000886206896,51.39774210344827,0.744102428275862,2020-05-17,11:00:00,52.11,993.8,7.16,285.83,0.001201
141,2020-05-17 11:15:00,4136001,iq8k7ZNt4Mwm3w0,33.80211653333333,51.10897836666666,0.6819333059999999,2020-05-17,11:15:00,53.32,993.83,7.17,286.38,0.0009220000000000001
142,2020-05-17 11:30:00,4136001,iq8k7ZNt4Mwm3w0,33.973234793103444,47.9988477586207,0.4981052958620689,2020-05-17,11:30:00,54.56,993.85,7.17,286.92,0.000644
143,2020-05-17 11:45:00,4136001,iq8k7ZNt4Mwm3w0,33.6794626,44.84200643333333,0.4553650786666666,2020-05-17,11:45:00,55.96,993.91,7.11,287.76,0.0005
